"","FILE_NAME","UK_AIR_stations","AREA_CODE","DESCRIPTIO"
"1","CUMBRIA_COUNTY",1,"CTY","County"
"2","DERBYSHIRE_COUNTY",2,"CTY","County"
"3","DEVON_COUNTY",1,"CTY","County"
"4","EAST_SUSSEX_COUNTY",1,"CTY","County"
"5","GREATER_LONDON_AUTHORITY",10,"GLA","Greater London Authority"
"6","HAMPSHIRE_COUNTY",1,"CTY","County"
"7","LANCASHIRE_COUNTY",1,"CTY","County"
"8","NORFOLK_COUNTY",1,"CTY","County"
"9","OXFORDSHIRE_COUNTY",1,"CTY","County"
"10","WARWICKSHIRE_COUNTY",2,"CTY","County"
"11",NA,54,NA,NA
