"","day","lat","lon","hour","latest_temperature","station"
"1",2016-06-28,57.203,-2.2,20,11.5333333333333,"DYCE"
"2",2016-06-28,57.2035,-2.201,21,11.25,"DYCE"
"3",2016-06-28,54.237,-6.503,21,10.1,"GLENANNE NO2"
"4",2016-06-28,55.928,-3.343,21,11.5,"EDINBURGH GOGARBANK"
"5",2016-06-28,51.089,-4.147,21,13.2,"CHIVENOR"
"6",2016-06-28,54.618,-5.872,20,13,"CITY"
"7",2016-06-28,52.454,-1.748,21,13,"BIRMINGHAM"
"11",2016-06-28,53.7726666666667,-3.032,19,12.9,"BLACKPOOL"
"12",2016-06-28,53.773,-3.0335,7,14.85,"BLACKPOOL"
"13",2016-06-28,53.774,-3.038,21,11.6,"BLACKPOOL"
"14",2016-06-28,51.521,-2.576,21,14.7,"FILTON"
"15",2016-06-28,53.36,-2.382,21,11.2,"ROSTHERNE NO 2"
"17",2016-06-28,51.504,-0.129,21,14.5,"ST JAMES PARK"
"18",2016-06-28,51.397,-3.343,21,12,"CARDIFF"
"19",2016-06-28,54.934,-2.962,20,11.7,"CARLISLE"
"20",2016-06-28,51.464,0.313,21,13.7,"GRAVESEND-BROADNESS"
"22",2016-06-28,53.005,-1.25,21,10.6,"NOTTINGHAM/WATNALL"
"25",2016-06-28,51.149,-1.569,21,13.2,"MIDDLE WALLOP"
"26",2016-06-28,51.1495,-1.568,20,13.5,"MIDDLE WALLOP"
"27",2016-06-28,51.1496666666667,-1.56766666666667,4,9,"MIDDLE WALLOP"
"28",2016-06-28,51.14975,-1.5675,15,14.05,"MIDDLE WALLOP"
"29",2016-06-28,51.1498,-1.5674,16,13.12,"MIDDLE WALLOP"
"30",2016-06-28,52.37,-1.48,21,13,"COVENTRY"
"32",2016-06-28,55.043,-7.161,15,16.5,"LONDONDERRY EGLINTON"
"35",2016-06-28,50.89,0.318,21,13.7,"HERSTMONCEUX  WEST END"
"37",2016-06-28,55.872,-4.433,21,12,"GLASGOW"
"41",2016-06-28,55.95,-3.372,21,11,"EDINBURGH"
"43",2016-06-28,51.6173333333333,-1.09633333333333,19,13.0666666666667,"BENSON"
"44",2016-06-28,51.618,-1.0965,20,13.1,"BENSON"
"45",2016-06-28,51.62,-1.097,21,13.1,"BENSON"
"46",2016-06-28,53.874,-0.44,21,11.7,"LECONFIELD"
"50",2016-06-28,53.866,-1.661,21,10,"LEEDS BRADFORD"
"52",2016-06-28,52.831,-1.328,21,11,"NOTTINGHAM EAST MIDLANDS"
"55",2016-06-28,53.334,-2.85,21,12,"LIVERPOOL"
"58",2016-06-28,51.505,0.055,21,15,"CITY"
"59",2016-06-28,51.4783333333333,-0.457,20,14,"HEATHROW"
"60",2016-06-28,51.4785,-0.455,21,14.25,"HEATHROW"
"61",2016-06-28,51.548,-0.415,21,14,"NORTHOLT"
"62",2016-06-28,51.5505,-0.4165,19,13.5,"NORTHOLT"
"63",2016-06-28,51.5513333333333,-0.417,18,13.6666666666667,"NORTHOLT"
"64",2016-06-28,51.55175,-0.41725,20,13.625,"NORTHOLT"
"71",2016-06-28,54.48,-8.23,21,12,"FINNER"
"72",2016-06-28,53.354,-2.275,21,11,"MANCHESTER"
"73",2016-06-28,54.509,-1.429,20,11.5,"DURHAM TEES VALLEY AIRPORT"
"74",2016-06-28,51.714,-4.366,21,12.7,"PEMBRY SANDS"
"75",2016-06-28,51.7155,-4.3665,20,13,"PEMBRY SANDS"
"76",2016-06-28,51.717,-4.367,13,13,"PEMBRY SANDS"
"77",2016-06-28,55.038,-1.692,21,11,"NEWCASTLE"
"79",2016-06-28,52.676,1.283,21,12,"NORWICH"
"85",2016-06-28,50.354,-4.12,21,13.6,"PLYMOUTH/MOUNTBATTE"
"86",2016-06-28,51.565,-3.981,21,12,"MUMBLES HEAD"
"88",2016-06-28,50.814,-0.921,21,14.7,"THORNEY ISLAND"
"89",2016-06-28,53.745,-2.883,18,14,"WARTON"
"93",2016-06-28,51.571,0.696,21,14,"SOUTHEND"
"97",2016-06-28,52.227,-0.464,21,12.2,"BEDFORD"
"98",2016-06-28,53.574,-0.351,20,13,"HUMBERSIDE"
"99",2016-06-28,53.612,-1.667,21,10,"EMLEY MOOR NO 2"
"101",2016-06-28,50.95,-1.357,21,13,"SOUTHAMPTON"
"107",2016-06-28,53.128,-1.98,21,10,"LEEK THORNCLIFFE"
"109",2016-06-28,50.836,-0.295333333333333,18,13.9,"SHOREHAM"
"110",2016-06-28,50.836,-0.2945,6,13.55,"SHOREHAM"
"111",2016-06-28,50.836,-0.292,21,14.7,"SHOREHAM"
"118",2016-06-28,52.64,-2.306,13,13,"COSFORD"
"119",2016-06-28,54.045,-1.25,21,11.5,"LINTON ON OUSE"
"120",2016-06-28,54.047,-1.2515,20,11.8,"LINTON ON OUSE"
"121",2016-06-28,54.0482,-1.2524,15,13.14,"LINTON ON OUSE"
